
📏 Alignment OK: 237 samples (index 0..236)
Gold label distribution: {'Direct Reply': 85, 'Direct Non-Reply': 35, 'Indirect': 117}
[001/237] True=Direct Reply | Pred=Direct Non-Reply | ❌ | votes={'Indirect': 1, 'Direct Non-Reply': 2} | max_toks=208
[002/237] True=Direct Non-Reply | Pred=Direct Non-Reply | ✅ | votes={'Direct Non-Reply': 3} | max_toks=264
[003/237] True=Indirect | Pred=Direct Non-Reply | ❌ | votes={'Direct Non-Reply': 3} | max_toks=260
[004/237] True=Direct Reply | Pred=Direct Reply | ✅ | votes={'Direct Reply': 3} | max_toks=278
[005/237] True=Indirect | Pred=Direct Reply | ❌ | votes={'Direct Reply': 2, 'Direct Non-Reply': 1} | max_toks=280
[006/237] True=Indirect | Pred=Direct Non-Reply | ❌ | votes={'Direct Non-Reply': 3} | max_toks=209
[007/237] True=Indirect | Pred=Direct Non-Reply | ❌ | votes={'Direct Non-Reply': 3} | max_toks=283
[008/237] True=Direct Non-Reply | Pred=Direct Non-Reply | ✅ | votes={'Direct Non-Reply': 3} | max_toks=247
[009/237] True=Direct Reply | Pred=Direct Reply | ✅ | votes={'Direct Reply': 3} | max_toks=246
[010/237] True=Direct Reply | Pred=Direct Reply | ✅ | votes={'Direct Reply': 2, 'Direct Non-Reply': 1} | max_toks=235
[011/237] True=Direct Reply | Pred=Indirect | ❌ | votes={'Indirect': 3} | max_toks=300
[012/237] True=Direct Non-Reply | Pred=Direct Non-Reply | ✅ | votes={'Direct Non-Reply': 2, 'Indirect': 1} | max_toks=195
[013/237] True=Indirect | Pred=Direct Non-Reply | ❌ | votes={'Direct Non-Reply': 3} | max_toks=201
[014/237] True=Direct Non-Reply | Pred=Direct Non-Reply | ✅ | votes={'Direct Non-Reply': 3} | max_toks=208
[015/237] True=Indirect | Pred=Direct Non-Reply | ❌ | votes={'Direct Non-Reply': 3} | max_toks=187
[016/237] True=Indirect | Pred=Direct Non-Reply | ❌ | votes={'Direct Non-Reply': 3} | max_toks=216
